Year,Quarter,Month,Day,SalesVolume,RegionName,Area,AreaCode,IndexSA,AveragePriceSA
1995,Qtr 2,April,1,2359.0,Greater Manchester,Northwest,E11000001,,
1995,Qtr 2,May,1,2686.0,Greater Manchester,Northwest,E11000001,,
1995,Qtr 2,June,1,3323.0,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,April,1,2701.0,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,May,1,3145.0,Greater Manchester,Northwest,E11000001,,
1996,Qtr 2,June,1,3227.0,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,April,1,3116.0,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,May,1,3773.0,Greater Manchester,Northwest,E11000001,,
1997,Qtr 2,June,1,3799.0,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,April,1,3302.0,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,May,1,3503.0,Greater Manchester,Northwest,E11000001,,
1998,Qtr 2,June,1,3736.0,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,April,1,3673.0,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,May,1,3758.0,Greater Manchester,Northwest,E11000001,,
1999,Qtr 2,June,1,4035.0,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,April,1,3799.0,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,May,1,4086.0,Greater Manchester,Northwest,E11000001,,
2000,Qtr 2,June,1,4596.0,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,April,1,3908.0,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,May,1,4274.0,Greater Manchester,Northwest,E11000001,,
2001,Qtr 2,June,1,4739.0,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,April,1,4452.0,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,May,1,6250.0,Greater Manchester,Northwest,E11000001,,
2002,Qtr 2,June,1,4736.0,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,April,1,4495.0,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,May,1,5146.0,Greater Manchester,Northwest,E11000001,,
2003,Qtr 2,June,1,4838.0,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,April,1,6040.0,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,May,1,5154.0,Greater Manchester,Northwest,E11000001,,
2004,Qtr 2,June,1,6054.0,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,April,1,4105.0,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,May,1,3980.0,Greater Manchester,Northwest,E11000001,,
2005,Qtr 2,June,1,4622.0,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,April,1,4442.0,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,May,1,4978.0,Greater Manchester,Northwest,E11000001,,
2006,Qtr 2,June,1,6054.0,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,April,1,4647.0,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,May,1,5085.0,Greater Manchester,Northwest,E11000001,,
2007,Qtr 2,June,1,6117.0,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,April,1,3148.0,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,May,1,2976.0,Greater Manchester,Northwest,E11000001,,
2008,Qtr 2,June,1,2632.0,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,April,1,1561.0,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,May,1,1797.0,Greater Manchester,Northwest,E11000001,,
2009,Qtr 2,June,1,2168.0,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,April,1,2107.0,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,May,1,2123.0,Greater Manchester,Northwest,E11000001,,
2010,Qtr 2,June,1,2350.0,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,April,1,2120.0,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,May,1,2009.0,Greater Manchester,Northwest,E11000001,,
2011,Qtr 2,June,1,2217.0,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,April,1,1778.0,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,May,1,1920.0,Greater Manchester,Northwest,E11000001,,
2012,Qtr 2,June,1,2193.0,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,April,1,2151.0,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,May,1,2697.0,Greater Manchester,Northwest,E11000001,,
2013,Qtr 2,June,1,2648.0,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,April,1,3188.0,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,May,1,3504.0,Greater Manchester,Northwest,E11000001,,
2014,Qtr 2,June,1,3484.0,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,April,1,2956.0,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,May,1,3497.0,Greater Manchester,Northwest,E11000001,,
2015,Qtr 2,June,1,3728.0,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,April,1,2221.0,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,May,1,2346.0,Greater Manchester,Northwest,E11000001,,
2016,Qtr 2,June,1,2726.0,Greater Manchester,Northwest,E11000001,,
